,Title,Stars,Reviews,Features,Amount
86,FUJIFILM X Series X-T4 Mirrorless Camera XF 16-55mm F2.8 R LM WR lens and BC-W235 Dual Battery Charger,4.5,48 Ratings & 10 Reviews,"4K HDR (HLG)2 movie shooting, Ultra-fast AF and continuous shooting, Real-time Tracking and Real-time Eye AF, 5-axis optical image stabilisation, Magnificent images, True-to-life 4K HDR (HLG) movie recording, Powerful, reliable, versatile, Fast continuous shooting with AF/AE at up to 11fps, AI-based subject tracking, Initiate tracking in an instant, Smooth focus transition, Real-time Tracking activation with Touch Tracking, Wi-Fi,NFC & BLUETOOTHEffective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableUHD 4K2 Year Warranty","₹79,990"
87,FUJIFILM X Series X-T4 Mirrorless Camera Body with XF 16-80mm Lens,4.7,13 Ratings & 1 Reviews,Effective Pixels: 16 MPSensor Type: MOSWiFi Available4K at 30fps2 Year Warranty,"₹79,990"
88,SONY Alpha ILCE-7SM3 Full Frame Mirrorless Camera Body Featuring Eye AF and 4K movie recording,4.4,"1,459 Ratings & 209 Reviews","4K Video, Eye Detection AF (One-Shot & Servo AF), Dual pixel CMOS AF, 143 AF areas, Coupled with the Smooth Skin feature, Creative Assist and Creative filters, you would be delivering the best of you wherever you areEffective Pixels: 24.1 MPSensor Type: CMOSWiFi Available4K2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)","₹52,599"
89,FUJIFILM X-Series X-E4 Mirrorless Camera Body with Accessories - Metal Hand Grip (MHG-XE4) and Thumb R...,4.6,265 Ratings & 48 Reviews,"High-resolution 4K movie recording, Choose your own shooting style, Self-framing made easy, Flexible low-angle shooting, Convenient Touch Tracking and Touch Focus features, Cleaner images in dimly lit settings, Superior image resolution and natural-looking textures, Uncompromising image quality, Real-time Tracking, Persistent tracking at high speed, NFC & BluetoothEffective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableUHD 4K2 Year Warranty","₹52,599"
90,FUJIFILM X-T30II15-45 Mirrorless Camera X-T30II15-45,4.4,"1,022 Ratings & 112 Reviews","4K and vertical movies, Live YouTube streaming, Auto video transcoding, Use as a webcam, Great in low light, 10fps continuous shooting, 3.5mm external microphone input, Full HD movie at 60p, pair the camera with your smartphone via Wi-Fi or Bluetooth to perform remote shooting, a handy trick for taking group photos.Effective Pixels: 24.1 MPSensor Type: CMOSWiFi AvailableMP42 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)","₹52,599"
91,FUJIFILM X Series X-S10 Mirrorless Camera Body with XF 18 - 55 mm Lens,4.6,532 Ratings & 73 Reviews,"4K movies and pro-level features, Natural-looking images that match what you see, Cleaner images even in dim light, Creative movie production, High-resolution 4K recording, Create time-lapse movies, Vlog with useful features, Take advantage of various movie functions, A high resolution LCD monitor with handy touchscreen functions, Incredible image quality, Sophisticated eye recognition and tracking, Persistent tracking ability, High speed continuous shooting with AF/AE tracking, Bluetooth & NFC, Touch ScreenEffective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableNTSC/PAL2 Year Warranty","₹52,599"
92,FUJIFILM X-Series X-E4 Mirrorless Camera Body Only,4.4,300 Ratings & 40 Reviews,"4K video with oversampling for greater detail, Easy, impressive vlogs, One-touch control of background blurring, Interchangeable-lens camera for vlogging, Flexible connectivity for easy sharing, Designed for easy selfie and vlog shoots, Protection against recording failures, Fast, precise autofocus, Leave it up to the camera to focus on you, Easy background blur control, Natural-looking skin tones, Smooth and stable images even while walking, Easy sped-up and slowed-down motion, Clear recording even outdoors, For even higher audio quality, Optional grip for easy one-handed operation, Add special effects in-camera, Edit movies from your smartphone, Create time-lapse movies, Wi-Fi & BluetoothEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4k2 Year Warranty","₹52,599"
93,NIKON Z5 Mirrorless Camera 24-70 mm,4.7,185 Ratings & 16 Reviews,"4K movies and pro-level features, Natural-looking images that match what you see, Cleaner images even in dim light, Creative movie production, High-resolution 4K recording, Create time-lapse movies, Vlog with useful features, Take advantage of various movie functions, A high resolution LCD monitor with handy touchscreen functions, Incredible image quality, Sophisticated eye recognition and tracking, Persistent tracking ability, High speed continuous shooting with AF/AE tracking, Bluetooth & NFC, Touch ScreenEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4K, FULL HD, HD2 Year Warranty","₹52,599"
94,SONY Alpha ILCE-6600 APS-C Mirrorless Camera Body Only Featuring Eye AF and 4K movie recording,4.2,43 Ratings & 14 Reviews,"7K oversampling for beautifully expressive, richly detailed images (When recording 4K movies at up to 30p, full-frame 7K oversampling is possible, resulting in high-resolution, highly detailed 4K. Select the mode that best suits your purpose, and let the camera deliver.), 4K 60p, 10-bit 4:2:2 recording capability, Flagship-quality still and movie imaging, Flagship-quality still and movie imaging, Still photography without compromise, Higher resolution, better colour reproduction, Quickly set the visual mood with ten Creative Look presets, Reliable autofocus, impressive speed, Fast Hybrid AF, evolved, continuous shooting with fast buffer release, Improved Real-time Eye AF (Keeping the targeted eye in focus so you can concentrate on composition), High-performance 'Active Mode' image stabilisation, Improvements in selection and editing workflow, Instantly turn your a7 IV into a web camera, Share your still images and movies immediately, Intuitive touch operationsEffective Pixels: 33 MPSensor Type: CMOSWiFi Available4K2 Years Warranty","₹52,599"
95,Panasonic Lumix DMC-GH4 Mirrorless Camera Body with 12-60mm Lens,4.4,300 Ratings & 40 Reviews,"4K video with oversampling for greater detail, Easy, impressive vlogs, One-touch control of background blurring, Interchangeable-lens camera for vlogging, Flexible connectivity for easy sharing, Designed for easy selfie and vlog shoots, Protection against recording failures, Fast, precise autofocus, Leave it up to the camera to focus on you, Easy background blur control, Natural-looking skin tones, Smooth and stable images even while walking, Easy sped-up and slowed-down motion, Clear recording even outdoors, For even higher audio quality, Optional grip for easy one-handed operation, Add special effects in-camera, Edit movies from your smartphone, Create time-lapse movies, Wi-Fi & BluetoothEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4k2 Year Warranty","₹52,599"
96,Canon EOS M200 Mirrorless Camera Body with Single Lens (EF-M15-45mm f/3.5-6.3 IS STM),4.1,15 Ratings & 0 Reviews,"4K UHD video with 100% Angle view, 20 types of creative picture control, Compact Content Creation., Personalised Performance, Twist And Touch., Fuss-Free Focus., Eye-Detection AF & Animal-Detection AF / AF-F., SnapBridge, NX Studio, Webcam Utility, Wi-Fi CompatibilityEffective Pixels: 20.9 MPSensor Type: CMOSWiFi Available4K UHD2 Years Warranty","₹52,599"
97,SONY Alpha ILCE-6100Y APS-C Mirrorless Camera with Dual Lens 16-50 mm & 55-210 mm Zoom Featuring Eye A...,4.9,21 Ratings & 3 Reviews,Effective Pixels: 26.1 MPSensor Type: BSI CMOSWiFi Available4K2 Year Warranty,"₹52,599"
98,Canon EOS M50 Mark II Mirrorless Camera EF-M15-45mm is STM Lens,3.8,16 Ratings & 1 Reviews,"4K Ultra HD at 60p., Dual processors., Dual card slots., High-speed shooting., More autofocus power., Keep shooting into the evening with the same fast, accurate AF performance., subject tracking automatically, Eye-Detection.Better than ever., Now you can use Wide-Area (L) Mode to set boundaries for eye detection., Capture the eyes On Video, Slow down time and capture every detail of movement, Reverse focus rotation., Built-in inspiration for multimedia creators., Focus Shift Shooting, Direct connect. (PC or Mac), Live streamEffective Pixels: 24.5 MPSensor Type: CMOSWiFi AvailableH.264/MPEG-4 Advanced Video Coding2 Year Warranty","₹52,599"
99,SONY Alpha ILCE-6400L APS-C Mirrorless Camera with 16-50 mm Power Zoom Lens Featuring Eye AF and 4K mo...,4.9,8 Ratings & 0 Reviews,"Edit videos on the fly (Shoot a clip, trim it right in the camera, send it to your phone and post it without missing a beat.), Like two cameras in one.(The Z 50 lets you separately save the most appropriate settings for each shooting mode and then change smoothly between them with the flick of a lever.), Turn an ordinary moment into an epic 120 FPS slow motion 1080p Full HD video, great for bending time, speed ramping, Quick and nimble., Shoot remotely, Eye catching in so many ways., Extra-creative filters & effects., High-end feel, Great content deserves a great-looking live stream.Effective Pixels: 21.51 MPSensor Type: CMOSWiFi Available3840 x 21602 Years Warranty","₹52,599"
100,SONY ZV-E10 Mirrorless Camera Body Only Vlog Camera,4.9,24 Ratings & 2 Reviews,"4K UHD (6K oversampling) and 4K 60p, Up to 23 fps continuous shooting with AF/AE tracking, -4EV low light focusing2, YouTube live streaming, 7.5cm 1.04-million dot Vari-Angle Touchscreen, Dual Pixel CMOS AF II, 4K/30p (High quality video oversampled from 6K), 4K/60p3 (For smoother motion in video), Tilt ScreenEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4K2 Years Domestic Warranty","₹52,599"
101,FUJIFILM X-T30II18-55 Mirrorless Camera X-T30II18-55,4.3,18 Ratings & 3 Reviews,"Effective Pixels: 26.1 MPSensor Type: CMOSWiFi Available4K, Full HD2 Years Warranty","₹52,599"
102,SONY Alpha ILCE-6400M APS-C Mirrorless Camera with 18-135 mm Zoom Lens Featuring Eye AF and 4K movie r...,4.3,18 Ratings & 3 Reviews,"Effective Pixels: 26.1 MPSensor Type: CMOSWiFi Available4K, Full HD2 Year Warranty","₹52,599"
103,SONY Alpha ILCE-7M4 Full Frame Mirrorless Camera Body Featuring Eye AF and 4K movie recording,4.2,12 Ratings & 1 Reviews,"4K 120p, Expressive possibilities, Superlative movie performance, Stunning AF performance even at 4K 120p, Superior quality and smaller files with XAVC HS, S-CinetoneTM from high-end cinema camera colour science, HLG (Hybrid Log-Gamma), Fast Hybrid AF for accuracy and tenacity, Powerful focus control for solo shooters, Real-time Eye AF for movies, Real-time Tracking with intuitive touch operation, Active Mode for hand-held shooting, Movie-shooting comfort, Unique heat dissipation, for dependable recording, Highly sensitive AF for low-light focusing, Still-image quality advances through new sensor and engine, New HEIF format and HLG image capture modes, Vari-angle LCD monitor for comfortable movie shooting, Two CFexpress Type A-compatible media slots, Intuitive touch operationEffective Pixels: 12.1 MPSensor Type: CMOSWiFi Available4K2 Year Warranty","₹52,599"
104,SONY ZV-E10L Mirrorless Camera Body with 1650 mm Power Zoom Lens Vlog Camera,4.9,14 Ratings & 4 Reviews,"Effective Pixels: 26.1 MPSensor Type: BSI CMOSWiFi Available4K, Full HD2 Year Warranty","₹52,599"
105,NIKON Z30 Mirrorless Camera Z DX 18 - 140 mm f/3.5 - 6.3 VR Lens,4.9,21 Ratings & 3 Reviews,Effective Pixels: 26.1 MPSensor Type: BSI CMOSWiFi Available4K2 Year Warranty,"₹52,599"
106,FUJIFILM X Series X-S10 Mirrorless Camera Body with XF 16 - 80 mm Lens,4.9,14 Ratings & 4 Reviews,"Effective Pixels: 26.1 MPSensor Type: BSI CMOSWiFi Available4K, Full HD2 Year Warranty","₹52,599"
107,NIKON Z6 II Kit Mirrorless Camera 24-70mm Lens,4.3,16 Ratings & 0 Reviews,"4K UHD/30p, Optical VR image stabilisation and electronic Vibration Reduction, Creative Picture Controls, Focus Peaking, Capture stills while recording, Timelapse made easy., Up your live stream., Right.In any light., Fully automatic.Totally manual., The eyes say it all., Focus anywhere., Tweak. Shoot. Create., Multiply your vision., Shift your focus., Easy pairing.Easy sharing., Tilt. Touch. Swipe. PinchEffective Pixels: 24.3 MPSensor Type: CMOSWiFi Available4K UHD2 Year Warranty","₹52,599"
108,NIKON Z50 Mirrorless Camera Nikkor Z DX 18-140 mm f/3.5-6.3 VR,4.5,48 Ratings & 10 Reviews,"4K HDR (HLG)2 movie shooting, Ultra-fast AF and continuous shooting, Real-time Tracking and Real-time Eye AF, 5-axis optical image stabilisation, Magnificent images, True-to-life 4K HDR (HLG) movie recording, Powerful, reliable, versatile, Fast continuous shooting with AF/AE at up to 11fps, AI-based subject tracking, Initiate tracking in an instant, Smooth focus transition, Real-time Tracking activation with Touch Tracking, Wi-Fi,NFC & BLUETOOTHEffective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableUHD 4K2 Year Warranty","₹52,599"
109,Canon EOS R10 Mirrorless Camera Body with RF-S 18 - 150 mm f/3.5 - 6.3 IS STM Lens Kit,4.7,13 Ratings & 1 Reviews,Effective Pixels: 16 MPSensor Type: MOSWiFi Available4K at 30fps2 Year Warranty,"₹52,599"
110,FUJIFILM X Series X-T4 Mirrorless Camera XF 16-55mm F2.8 R LM WR lens and BC-W235 Dual Battery Charger,4.4,"1,459 Ratings & 209 Reviews","4K Video, Eye Detection AF (One-Shot & Servo AF), Dual pixel CMOS AF, 143 AF areas, Coupled with the Smooth Skin feature, Creative Assist and Creative filters, you would be delivering the best of you wherever you areEffective Pixels: 24.1 MPSensor Type: CMOSWiFi Available4K2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)","₹1,06,000"
111,FUJIFILM X Series X-T4 Mirrorless Camera Body with XF 16-80mm Lens,4.6,265 Ratings & 48 Reviews,"High-resolution 4K movie recording, Choose your own shooting style, Self-framing made easy, Flexible low-angle shooting, Convenient Touch Tracking and Touch Focus features, Cleaner images in dimly lit settings, Superior image resolution and natural-looking textures, Uncompromising image quality, Real-time Tracking, Persistent tracking at high speed, NFC & BluetoothEffective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableUHD 4K2 Year Warranty","₹1,06,000"
112,SONY Alpha ILCE-7SM3 Full Frame Mirrorless Camera Body Featuring Eye AF and 4K movie recording,4.4,"1,022 Ratings & 112 Reviews","4K and vertical movies, Live YouTube streaming, Auto video transcoding, Use as a webcam, Great in low light, 10fps continuous shooting, 3.5mm external microphone input, Full HD movie at 60p, pair the camera with your smartphone via Wi-Fi or Bluetooth to perform remote shooting, a handy trick for taking group photos.Effective Pixels: 24.1 MPSensor Type: CMOSWiFi AvailableMP42 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)","₹1,06,000"
113,FUJIFILM X-Series X-E4 Mirrorless Camera Body with Accessories - Metal Hand Grip (MHG-XE4) and Thumb R...,4.6,532 Ratings & 73 Reviews,"4K movies and pro-level features, Natural-looking images that match what you see, Cleaner images even in dim light, Creative movie production, High-resolution 4K recording, Create time-lapse movies, Vlog with useful features, Take advantage of various movie functions, A high resolution LCD monitor with handy touchscreen functions, Incredible image quality, Sophisticated eye recognition and tracking, Persistent tracking ability, High speed continuous shooting with AF/AE tracking, Bluetooth & NFC, Touch ScreenEffective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableNTSC/PAL2 Year Warranty","₹1,06,000"
114,FUJIFILM X-T30II15-45 Mirrorless Camera X-T30II15-45,4.4,300 Ratings & 40 Reviews,"4K video with oversampling for greater detail, Easy, impressive vlogs, One-touch control of background blurring, Interchangeable-lens camera for vlogging, Flexible connectivity for easy sharing, Designed for easy selfie and vlog shoots, Protection against recording failures, Fast, precise autofocus, Leave it up to the camera to focus on you, Easy background blur control, Natural-looking skin tones, Smooth and stable images even while walking, Easy sped-up and slowed-down motion, Clear recording even outdoors, For even higher audio quality, Optional grip for easy one-handed operation, Add special effects in-camera, Edit movies from your smartphone, Create time-lapse movies, Wi-Fi & BluetoothEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4k2 Year Warranty","₹1,06,000"
115,FUJIFILM X Series X-S10 Mirrorless Camera Body with XF 18 - 55 mm Lens,4.7,185 Ratings & 16 Reviews,"4K movies and pro-level features, Natural-looking images that match what you see, Cleaner images even in dim light, Creative movie production, High-resolution 4K recording, Create time-lapse movies, Vlog with useful features, Take advantage of various movie functions, A high resolution LCD monitor with handy touchscreen functions, Incredible image quality, Sophisticated eye recognition and tracking, Persistent tracking ability, High speed continuous shooting with AF/AE tracking, Bluetooth & NFC, Touch ScreenEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4K, FULL HD, HD2 Year Warranty","₹1,06,000"
116,FUJIFILM X-Series X-E4 Mirrorless Camera Body Only,4.2,43 Ratings & 14 Reviews,"7K oversampling for beautifully expressive, richly detailed images (When recording 4K movies at up to 30p, full-frame 7K oversampling is possible, resulting in high-resolution, highly detailed 4K. Select the mode that best suits your purpose, and let the camera deliver.), 4K 60p, 10-bit 4:2:2 recording capability, Flagship-quality still and movie imaging, Flagship-quality still and movie imaging, Still photography without compromise, Higher resolution, better colour reproduction, Quickly set the visual mood with ten Creative Look presets, Reliable autofocus, impressive speed, Fast Hybrid AF, evolved, continuous shooting with fast buffer release, Improved Real-time Eye AF (Keeping the targeted eye in focus so you can concentrate on composition), High-performance 'Active Mode' image stabilisation, Improvements in selection and editing workflow, Instantly turn your a7 IV into a web camera, Share your still images and movies immediately, Intuitive touch operationsEffective Pixels: 33 MPSensor Type: CMOSWiFi Available4K2 Years Warranty","₹1,06,000"
117,NIKON Z5 Mirrorless Camera 24-70 mm,4.4,300 Ratings & 40 Reviews,"4K video with oversampling for greater detail, Easy, impressive vlogs, One-touch control of background blurring, Interchangeable-lens camera for vlogging, Flexible connectivity for easy sharing, Designed for easy selfie and vlog shoots, Protection against recording failures, Fast, precise autofocus, Leave it up to the camera to focus on you, Easy background blur control, Natural-looking skin tones, Smooth and stable images even while walking, Easy sped-up and slowed-down motion, Clear recording even outdoors, For even higher audio quality, Optional grip for easy one-handed operation, Add special effects in-camera, Edit movies from your smartphone, Create time-lapse movies, Wi-Fi & BluetoothEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4k2 Year Warranty","₹1,06,000"
118,SONY Alpha ILCE-6600 APS-C Mirrorless Camera Body Only Featuring Eye AF and 4K movie recording,4.1,15 Ratings & 0 Reviews,"4K UHD video with 100% Angle view, 20 types of creative picture control, Compact Content Creation., Personalised Performance, Twist And Touch., Fuss-Free Focus., Eye-Detection AF & Animal-Detection AF / AF-F., SnapBridge, NX Studio, Webcam Utility, Wi-Fi CompatibilityEffective Pixels: 20.9 MPSensor Type: CMOSWiFi Available4K UHD2 Years Warranty","₹1,06,000"
119,Panasonic Lumix DMC-GH4 Mirrorless Camera Body with 12-60mm Lens,4.9,21 Ratings & 3 Reviews,Effective Pixels: 26.1 MPSensor Type: BSI CMOSWiFi Available4K2 Year Warranty,"₹1,06,000"
120,Canon EOS M200 Mirrorless Camera Body with Single Lens (EF-M15-45mm f/3.5-6.3 IS STM),3.8,16 Ratings & 1 Reviews,"4K Ultra HD at 60p., Dual processors., Dual card slots., High-speed shooting., More autofocus power., Keep shooting into the evening with the same fast, accurate AF performance., subject tracking automatically, Eye-Detection.Better than ever., Now you can use Wide-Area (L) Mode to set boundaries for eye detection., Capture the eyes On Video, Slow down time and capture every detail of movement, Reverse focus rotation., Built-in inspiration for multimedia creators., Focus Shift Shooting, Direct connect. (PC or Mac), Live streamEffective Pixels: 24.5 MPSensor Type: CMOSWiFi AvailableH.264/MPEG-4 Advanced Video Coding2 Year Warranty","₹1,06,000"
121,SONY Alpha ILCE-6100Y APS-C Mirrorless Camera with Dual Lens 16-50 mm & 55-210 mm Zoom Featuring Eye A...,4.9,8 Ratings & 0 Reviews,"Edit videos on the fly (Shoot a clip, trim it right in the camera, send it to your phone and post it without missing a beat.), Like two cameras in one.(The Z 50 lets you separately save the most appropriate settings for each shooting mode and then change smoothly between them with the flick of a lever.), Turn an ordinary moment into an epic 120 FPS slow motion 1080p Full HD video, great for bending time, speed ramping, Quick and nimble., Shoot remotely, Eye catching in so many ways., Extra-creative filters & effects., High-end feel, Great content deserves a great-looking live stream.Effective Pixels: 21.51 MPSensor Type: CMOSWiFi Available3840 x 21602 Years Warranty","₹1,06,000"
122,Canon EOS M50 Mark II Mirrorless Camera EF-M15-45mm is STM Lens,4.9,24 Ratings & 2 Reviews,"4K UHD (6K oversampling) and 4K 60p, Up to 23 fps continuous shooting with AF/AE tracking, -4EV low light focusing2, YouTube live streaming, 7.5cm 1.04-million dot Vari-Angle Touchscreen, Dual Pixel CMOS AF II, 4K/30p (High quality video oversampled from 6K), 4K/60p3 (For smoother motion in video), Tilt ScreenEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4K2 Years Domestic Warranty","₹1,06,000"
123,SONY Alpha ILCE-6400L APS-C Mirrorless Camera with 16-50 mm Power Zoom Lens Featuring Eye AF and 4K mo...,4.3,18 Ratings & 3 Reviews,"Effective Pixels: 26.1 MPSensor Type: CMOSWiFi Available4K, Full HD2 Years Warranty","₹1,06,000"
124,SONY ZV-E10 Mirrorless Camera Body Only Vlog Camera,4.3,18 Ratings & 3 Reviews,"Effective Pixels: 26.1 MPSensor Type: CMOSWiFi Available4K, Full HD2 Year Warranty","₹1,06,000"
125,FUJIFILM X-T30II18-55 Mirrorless Camera X-T30II18-55,4.2,12 Ratings & 1 Reviews,"4K 120p, Expressive possibilities, Superlative movie performance, Stunning AF performance even at 4K 120p, Superior quality and smaller files with XAVC HS, S-CinetoneTM from high-end cinema camera colour science, HLG (Hybrid Log-Gamma), Fast Hybrid AF for accuracy and tenacity, Powerful focus control for solo shooters, Real-time Eye AF for movies, Real-time Tracking with intuitive touch operation, Active Mode for hand-held shooting, Movie-shooting comfort, Unique heat dissipation, for dependable recording, Highly sensitive AF for low-light focusing, Still-image quality advances through new sensor and engine, New HEIF format and HLG image capture modes, Vari-angle LCD monitor for comfortable movie shooting, Two CFexpress Type A-compatible media slots, Intuitive touch operationEffective Pixels: 12.1 MPSensor Type: CMOSWiFi Available4K2 Year Warranty","₹1,06,000"
126,SONY Alpha ILCE-6400M APS-C Mirrorless Camera with 18-135 mm Zoom Lens Featuring Eye AF and 4K movie r...,4.9,14 Ratings & 4 Reviews,"Effective Pixels: 26.1 MPSensor Type: BSI CMOSWiFi Available4K, Full HD2 Year Warranty","₹1,06,000"
127,SONY Alpha ILCE-7M4 Full Frame Mirrorless Camera Body Featuring Eye AF and 4K movie recording,4.9,21 Ratings & 3 Reviews,Effective Pixels: 26.1 MPSensor Type: BSI CMOSWiFi Available4K2 Year Warranty,"₹1,06,000"
128,SONY ZV-E10L Mirrorless Camera Body with 1650 mm Power Zoom Lens Vlog Camera,4.9,14 Ratings & 4 Reviews,"Effective Pixels: 26.1 MPSensor Type: BSI CMOSWiFi Available4K, Full HD2 Year Warranty","₹1,06,000"
129,NIKON Z30 Mirrorless Camera Z DX 18 - 140 mm f/3.5 - 6.3 VR Lens,4.3,16 Ratings & 0 Reviews,"4K UHD/30p, Optical VR image stabilisation and electronic Vibration Reduction, Creative Picture Controls, Focus Peaking, Capture stills while recording, Timelapse made easy., Up your live stream., Right.In any light., Fully automatic.Totally manual., The eyes say it all., Focus anywhere., Tweak. Shoot. Create., Multiply your vision., Shift your focus., Easy pairing.Easy sharing., Tilt. Touch. Swipe. PinchEffective Pixels: 24.3 MPSensor Type: CMOSWiFi Available4K UHD2 Year Warranty","₹1,06,000"
130,FUJIFILM X Series X-S10 Mirrorless Camera Body with XF 16 - 80 mm Lens,4.5,48 Ratings & 10 Reviews,"4K HDR (HLG)2 movie shooting, Ultra-fast AF and continuous shooting, Real-time Tracking and Real-time Eye AF, 5-axis optical image stabilisation, Magnificent images, True-to-life 4K HDR (HLG) movie recording, Powerful, reliable, versatile, Fast continuous shooting with AF/AE at up to 11fps, AI-based subject tracking, Initiate tracking in an instant, Smooth focus transition, Real-time Tracking activation with Touch Tracking, Wi-Fi,NFC & BLUETOOTHEffective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableUHD 4K2 Year Warranty","₹1,06,000"
131,NIKON Z6 II Kit Mirrorless Camera 24-70mm Lens,4.7,13 Ratings & 1 Reviews,Effective Pixels: 16 MPSensor Type: MOSWiFi Available4K at 30fps2 Year Warranty,"₹1,06,000"
132,NIKON Z50 Mirrorless Camera Nikkor Z DX 18-140 mm f/3.5-6.3 VR,4.4,"1,459 Ratings & 209 Reviews","4K Video, Eye Detection AF (One-Shot & Servo AF), Dual pixel CMOS AF, 143 AF areas, Coupled with the Smooth Skin feature, Creative Assist and Creative filters, you would be delivering the best of you wherever you areEffective Pixels: 24.1 MPSensor Type: CMOSWiFi Available4K2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)","₹1,05,990"
133,Canon EOS R10 Mirrorless Camera Body with RF-S 18 - 150 mm f/3.5 - 6.3 IS STM Lens Kit,4.6,265 Ratings & 48 Reviews,"High-resolution 4K movie recording, Choose your own shooting style, Self-framing made easy, Flexible low-angle shooting, Convenient Touch Tracking and Touch Focus features, Cleaner images in dimly lit settings, Superior image resolution and natural-looking textures, Uncompromising image quality, Real-time Tracking, Persistent tracking at high speed, NFC & BluetoothEffective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableUHD 4K2 Year Warranty","₹1,05,990"
134,FUJIFILM X Series X-T4 Mirrorless Camera XF 16-55mm F2.8 R LM WR lens and BC-W235 Dual Battery Charger,4.4,"1,022 Ratings & 112 Reviews","4K and vertical movies, Live YouTube streaming, Auto video transcoding, Use as a webcam, Great in low light, 10fps continuous shooting, 3.5mm external microphone input, Full HD movie at 60p, pair the camera with your smartphone via Wi-Fi or Bluetooth to perform remote shooting, a handy trick for taking group photos.Effective Pixels: 24.1 MPSensor Type: CMOSWiFi AvailableMP42 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)","₹1,05,990"
135,FUJIFILM X Series X-T4 Mirrorless Camera Body with XF 16-80mm Lens,4.6,532 Ratings & 73 Reviews,"4K movies and pro-level features, Natural-looking images that match what you see, Cleaner images even in dim light, Creative movie production, High-resolution 4K recording, Create time-lapse movies, Vlog with useful features, Take advantage of various movie functions, A high resolution LCD monitor with handy touchscreen functions, Incredible image quality, Sophisticated eye recognition and tracking, Persistent tracking ability, High speed continuous shooting with AF/AE tracking, Bluetooth & NFC, Touch ScreenEffective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableNTSC/PAL2 Year Warranty","₹1,05,990"
136,SONY Alpha ILCE-7SM3 Full Frame Mirrorless Camera Body Featuring Eye AF and 4K movie recording,4.4,300 Ratings & 40 Reviews,"4K video with oversampling for greater detail, Easy, impressive vlogs, One-touch control of background blurring, Interchangeable-lens camera for vlogging, Flexible connectivity for easy sharing, Designed for easy selfie and vlog shoots, Protection against recording failures, Fast, precise autofocus, Leave it up to the camera to focus on you, Easy background blur control, Natural-looking skin tones, Smooth and stable images even while walking, Easy sped-up and slowed-down motion, Clear recording even outdoors, For even higher audio quality, Optional grip for easy one-handed operation, Add special effects in-camera, Edit movies from your smartphone, Create time-lapse movies, Wi-Fi & BluetoothEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4k2 Year Warranty","₹1,05,990"
137,FUJIFILM X-Series X-E4 Mirrorless Camera Body with Accessories - Metal Hand Grip (MHG-XE4) and Thumb R...,4.7,185 Ratings & 16 Reviews,"4K movies and pro-level features, Natural-looking images that match what you see, Cleaner images even in dim light, Creative movie production, High-resolution 4K recording, Create time-lapse movies, Vlog with useful features, Take advantage of various movie functions, A high resolution LCD monitor with handy touchscreen functions, Incredible image quality, Sophisticated eye recognition and tracking, Persistent tracking ability, High speed continuous shooting with AF/AE tracking, Bluetooth & NFC, Touch ScreenEffective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4K, FULL HD, HD2 Year Warranty","₹1,05,990"
